host,size_kb,p25_throughput_mbps,median_throughput_mbps,p75_throughput_mbps,p25_latency_ms,median_latency_ms,p75_latency_ms
172.18.20.17,1,5.940019375681698,6.0588197631953316,6.182469146117685,0.1579567122649108,0.16118031863766408,0.16440392501041734
172.18.20.17,2,11.875100120407561,12.112602122815712,12.359798084505828,0.15802240349285526,0.16124735050291353,0.16447229751297182
172.18.20.17,5,29.650772083033637,30.24378752469431,30.861007678259494,0.15821947717668894,0.16144844609866216,0.1646774150206354
172.18.20.17,10,59.17869200477478,60.36226584487027,61.59414882129619,0.1585479333164116,0.16178360542490974,0.16501927753340798
172.18.20.17,20,117.86901684567391,120.2263971825874,122.6799971250892,0.15920484559585693,0.16245392407740503,0.16570300255895312
172.18.20.17,50,291.06950234091363,296.8908923877319,302.94989019156316,0.16117558243419294,0.1644648800348908,0.16775417763558864
172.18.20.17,100,393.9722818992181,401.85172753720246,410.052783201227,0.23815531560988512,0.24301562817335212,0.24787594073681912
172.18.20.17,200,757.6801260391562,772.8337285599395,788.605845469326,0.24766808554882433,0.25272253627431057,0.2577769869997968
172.18.20.17,500,1698.4869777009903,1732.4567172550103,1767.8129767908265,0.27620639536564223,0.2818432605771859,0.28748012578872967
172.18.20.17,1024,2317.9854374496886,2364.3451461986824,2412.5970879578394,0.4144910913601646,0.4229500932246578,0.431409095089151
172.18.20.17,3072,4352.985220058123,4440.044924459285,4530.658086182943,0.6621554623927679,0.6756688391762937,0.6891822159598197
172.18.20.17,5120,5280.08006875517,5385.681670130274,5495.593540949259,0.9098198334253711,0.9283875851279295,0.9469553368304882
172.18.20.17,8192,5998.732686123085,6118.707339845547,6243.578918209741,1.2813163899742759,1.3074657040553834,1.3336150181364912
172.18.20.17,10240,6283.822126661589,6409.498569194821,6540.304662443695,1.528980761006879,1.5601844500070194,1.5913881390071598
172.18.20.17,20480,6943.832655752486,7082.709308867536,7227.254396803609,2.7673026161698946,2.8237781797651986,2.880253743360503
172.18.20.17,30720,7195.764260490797,7339.679545700613,7489.4689241843,4.0056244713329106,4.0873719095233785,4.169119347713846
172.18.20.17,40960,7328.712034072238,7475.286274753684,7627.84313750376,5.2439463264959265,5.350965639281558,5.457984952067189
172.18.20.17,51200,7410.865200270118,7559.0825042755205,7713.349494158694,6.482268181658942,6.614559369039736,6.746850556420531
172.18.20.17,61440,7466.664924389481,7615.99822287727,7771.426758038032,7.720590036821958,7.878153098797917,8.035716160773875
172.18.20.17,71680,7507.03911051446,7657.17989272475,7813.448870127296,8.958911891984975,9.141746828556098,9.32458176512722
172.18.20.17,81920,7537.607453544599,7688.359602615491,7845.264900628051,10.19723374714799,10.405340558314277,10.61344736948056
172.18.20.17,92160,7561.555489076482,7712.7865988580115,7870.190406997973,11.435555602311007,11.668934288072453,11.902312973833904
172.18.20.17,102400,7580.823760915392,7732.4402361337,7890.245138911938,12.673877457474022,12.932528017830634,13.191178578187246
172.18.20.17,307200,7698.527576473272,7852.498128002738,8012.753191839527,37.44031456073434,38.20440261299422,38.9684906652541
172.18.20.17,512000,7722.508313206082,7876.958479470203,8037.712734153269,62.20675166399466,63.47627720815782,64.74580275232098
172.18.20.17,1048576,7741.016993841028,7895.837333717848,8056.9768711406605,127.0948168745367,129.68858864748643,132.28236042043616
