host,size_kb,p25_throughput_mbps,median_throughput_mbps,p75_throughput_mbps,p25_latency_ms,median_latency_ms,p75_latency_ms,gc_count,gc_time_ms
dahu-17.grenoble.grid5000.fr,1,1.282027,1.746294,2.248476,0.434322,0.559309,0.761733,0,0
dahu-17.grenoble.grid5000.fr,2,3.791401,5.362094,5.924180,0.329687,0.364273,0.515146,0,0
dahu-17.grenoble.grid5000.fr,5,12.170520,15.644514,20.277882,0.240795,0.312355,0.401200,0,0
dahu-17.grenoble.grid5000.fr,10,17.667313,22.383761,33.522216,0.291318,0.436316,0.552751,0,0
dahu-17.grenoble.grid5000.fr,20,51.232868,63.639955,72.181836,0.270584,0.307047,0.381225,0,0
dahu-17.grenoble.grid5000.fr,50,92.130971,112.565041,133.017666,0.367080,0.433781,0.529986,0,0
dahu-17.grenoble.grid5000.fr,100,174.640325,227.613895,289.909337,0.336851,0.429083,0.559185,0,0
dahu-17.grenoble.grid5000.fr,200,245.542056,312.839860,434.016204,0.450012,0.624424,0.795434,0,0
dahu-17.grenoble.grid5000.fr,500,374.412633,525.691809,659.071797,0.740862,0.929325,1.304126,0,0
dahu-17.grenoble.grid5000.fr,1024,459.422644,542.256355,732.720974,1.364776,1.845479,2.176645,0,0
dahu-17.grenoble.grid5000.fr,3072,657.182501,738.255183,893.612991,3.357158,4.063636,4.564942,0,0
dahu-17.grenoble.grid5000.fr,5120,672.774472,726.589710,782.815999,6.387197,6.881507,7.431911,0,0
dahu-17.grenoble.grid5000.fr,8192,640.622172,655.866054,661.803076,12.088188,12.197620,12.487860,0,0
dahu-17.grenoble.grid5000.fr,10240,694.206245,719.865620,725.353837,13.786375,13.891591,14.404941,0,0
dahu-17.grenoble.grid5000.fr,20480,616.977671,630.169868,646.033707,30.958137,31.737640,32.416084,0,0
dahu-17.grenoble.grid5000.fr,30720,678.750584,718.787841,744.875591,40.275182,41.736954,44.198857,0,0
dahu-17.grenoble.grid5000.fr,40960,668.291071,733.147239,750.639127,53.287923,54.559654,59.854159,0,0
dahu-17.grenoble.grid5000.fr,51200,737.403906,748.226063,755.166376,66.210575,66.824732,67.805445,0,0
dahu-17.grenoble.grid5000.fr,61440,723.415240,745.634307,749.568726,80.046029,80.468406,82.939917,0,0
dahu-17.grenoble.grid5000.fr,71680,754.102861,759.342845,762.660366,91.783975,92.185064,92.825533,0,0
dahu-17.grenoble.grid5000.fr,81920,761.355027,765.104616,768.895383,104.045364,104.560885,105.075815,0,0
dahu-17.grenoble.grid5000.fr,92160,764.555337,766.763193,768.683526,117.083295,117.376532,117.715482,0,0
dahu-17.grenoble.grid5000.fr,102400,762.744298,767.683866,770.528683,129.781022,130.261960,131.105536,0,0
dahu-17.grenoble.grid5000.fr,307200,773.685416,776.734698,779.528869,384.847838,386.232295,387.754498,0,0
dahu-17.grenoble.grid5000.fr,512000,768.671905,773.919962,775.605839,644.657344,646.061673,650.472584,0,0
dahu-17.grenoble.grid5000.fr,1048576,781.741760,782.480523,784.138661,1305.891485,1308.658784,1309.895483,0,0
