host,size_kb,p25_throughput_mbps,median_throughput_mbps,p75_throughput_mbps,p25_latency_ms,median_latency_ms,p75_latency_ms
localhost,1,3.8091460754372743,3.8868837504461986,3.964621425455123,0.246220703125,0.25124561543367346,0.25627052774234693
localhost,2,7.580708816796906,7.735417159996843,7.8901255031967805,0.24744140625,0.2524912308673469,0.25754105548469386
localhost,5,18.67537821335511,19.056508380974602,19.437638548594094,0.251103515625,0.2562280771683674,0.26135263871173475
localhost,10,36.464424026121954,37.2085959450224,37.95276786392285,0.25720703125,0.2624561543367347,0.2677052774234694
localhost,20,69.62447440916341,71.04538205016675,72.46628969117009,0.2694140625,0.2749123086734694,0.2804105548469388
localhost,50,153.232497287638,156.3596911098347,159.4868849320314,0.30603515625,0.31228077168367346,0.31852638711734693
localhost,100,294.8689607741999,300.8866946675509,306.9044285609019,0.3180703125,0.32456154336734694,0.33105277423469387
localhost,200,426.1777130888565,434.8752174376087,443.5727217863609,0.440140625,0.4491230867346939,0.45810554846938784
localhost,500,581.5643378256615,593.4329977812872,605.301657736913,0.8063515625,0.8228077168367347,0.8392638711734695
localhost,1024,687.4731567644955,701.5032211882607,715.5332856120259,1.3969999999999998,1.4255102040816325,1.4540204081632653
localhost,3072,739.3379522709777,754.4264819091609,769.5150115473441,3.897,3.976530612244898,4.056061224489796
localhost,5120,750.6643739252775,765.9840550257933,781.3037361263091,6.397,6.527551020408164,6.658102040816328
localhost,8192,757.1893170395191,772.6421602444073,788.0950034492954,10.147,10.354081632653061,10.561163265306122
localhost,10240,759.3895785561793,774.8873250573258,790.3850715584723,12.647,12.905102040816328,13.163204081632655
localhost,20480,763.8286873185668,779.4170278760886,795.0053684336103,25.147,25.660204081632653,26.173408163265307
localhost,30720,765.3199458124152,780.9387202167502,796.5574946210852,37.647,38.41530612244898,39.183612244897965
localhost,40960,766.0677607832971,781.7017967176502,797.3358326520032,50.147,51.17040816326531,52.193816326530616
localhost,51200,766.5171516592974,782.1603588360177,797.8035660127381,62.647,63.92551020408163,65.20402040816326
localhost,61440,766.8170386043354,782.4663659227912,798.115693241247,75.147,76.68061224489797,78.21422448979594
localhost,71680,767.0313872693873,782.6850890503953,798.3387908314032,87.647,89.4357142857143,91.22442857142859
localhost,81920,767.1922274256841,782.8492116588613,798.5061958920386,100.147,102.19081632653062,104.23463265306124
localhost,92160,767.317371967296,782.9769101707102,798.6364483741244,112.647,114.94591836734695,117.24483673469389
localhost,102400,767.4175170000078,783.0790989795998,798.7406809591919,125.147,127.70102040816327,130.25504081632653
localhost,307200,768.018936576862,783.6927924253694,799.3666482738768,375.14699999999993,382.80306122448974,390.45912244897954
localhost,512000,768.1393336287306,783.8156465599292,799.4919594911278,625.1469999999999,637.9051020408162,650.6632040816326
localhost,1048576,768.2317733822756,783.9099728390568,799.5881722958379,1280.147,1306.272448979592,1332.3978979591839
