Phase,Duration_ms,Cumulative_ms,Workers
START,0,0,17
ARGUMENTS_PARSED,0,0,17
CLUSTER_INIT_START,7,7,17
CLUSTER_INITIALIZED,25,33,17
FILE_PROCESSING_START,0,33,17
FILE_SPLITTING_START,3,36,17
FILE_SPLITTED,27,64,17
FILES_DISTRIBUTED,0,64,17
MAKEFILE_GENERATION_START,0,65,17
MAKEFILE_GENERATED,11,76,17
FILE_PROCESSING_COMPLETED,0,76,17
MAKEFILE_PARSING_START,0,76,17
MAKEFILE_PARSED,6,82,17
TASK_CONFIGURATION_START,4,87,17
TASKS_CONFIGURED,1,88,17
DISTRIBUTED_EXECUTION_START,1,90,17
EXECUTION_COMPLETED,1517,1607,17
TOTAL,1607,1607,17
