nodes,iteration,t_init_ms,t_split_ms,t_calc_ms,t_merge_ms,t_total_ms
2,2,23,18233,17515,0,35805
2,3,23,18205,17515,0,35778
2,1,24,19215,17516,0,36789
2,2,23,18030,17515,0,35604
2,3,22,18082,17515,0,35653
2,1,24,19282,17515,0,36857
2,2,24,17584,17016,0,34658
2,3,23,17622,17515,0,35196
2,1,24,19932,18015,0,38007
2,2,21,17756,17015,0,34831
3,1,24,19510,10011,0,29581
3,2,23,18351,9512,0,27924
3,3,23,18343,9511,0,27915
3,4,24,18207,9512,0,27780
3,5,24,18323,9511,0,27894
3,6,24,18202,9511,0,27771
3,7,24,18316,9511,0,27886
3,8,23,18182,9512,0,27751
3,9,24,18078,9511,0,27650
3,10,24,18706,9512,0,28278
6,1,24,20000,5011,0,25071
6,2,24,18400,4510,0,22971
6,3,24,18274,4510,0,22844
6,4,24,18536,5010,0,23607
6,5,24,18417,4510,0,22991
6,6,24,18120,5010,0,23189
6,7,23,18284,4510,0,22852
6,8,23,18630,4510,0,23200
6,9,24,18604,4511,0,23176
6,10,23,18540,4510,0,23109
8,1,24,20358,4512,0,24930
8,2,23,18618,4010,0,22686
8,3,23,18705,4010,0,22776
8,4,23,18446,4010,0,22515
8,5,21,18583,4010,0,22649
8,6,24,18474,4010,0,22547
8,7,24,18334,4011,0,22406
8,8,23,18311,4010,0,22380
8,9,23,18256,4012,0,22332
8,10,25,18206,4011,0,22280
10,1,25,20004,4011,0,24078
10,2,24,18483,3511,0,22056
10,3,24,18169,3510,0,21739
10,4,24,18026,3509,0,21596
10,5,24,18116,3511,0,21687
10,6,24,18294,3510,0,21864
10,7,24,18003,3511,0,21576
10,8,24,18250,3511,0,21822
10,9,24,18119,3510,0,21692
10,10,24,18067,3511,0,21639
12,1,25,19516,3512,0,23093
12,2,23,18249,3011,0,21322
12,3,24,18044,3011,0,21117
12,1,26,19371,3512,0,22949
12,2,24,18011,3012,0,21086
12,3,24,18249,3011,0,21321
12,1,28,19524,3514,0,23105
12,2,24,18112,3011,0,21186
12,3,24,17907,3011,0,20978
12,2,25,18341,3012,0,21418
15,1,25,19686,3514,0,23264
15,2,26,18128,3014,0,21207
15,3,24,18050,3013,0,21124
15,1,26,19657,3514,0,23242
15,2,23,17996,3013,0,21071
15,3,24,18009,3014,0,21087
15,1,25,19360,3514,0,22937
15,2,24,17969,3013,0,21044
15,3,25,25526,3015,0,28606
15,3,25,18450,3014,0,21532
18,1,26,19611,3515,0,23196
18,2,25,18157,3016,0,21237
18,3,24,18082,3016,0,21161
18,2,26,18197,3016,0,21278
18,3,24,18455,3021,0,21541
18,1,26,19542,3519,0,23125
18,2,25,18382,3017,0,21468
18,1,25,19356,3517,0,22938
18,2,24,18147,3018,0,21229
18,3,25,18413,3017,0,21492
