host,size_kb,rtt_ms,throughput_mbps,type
dahu-21.grenoble.grid5000.fr,1,0.266643,3.844558,normal
dahu-21.grenoble.grid5000.fr,2,0.267933,7.650264,normal
dahu-21.grenoble.grid5000.fr,5,0.274292,18.660860,normal
dahu-21.grenoble.grid5000.fr,10,0.229845,44.958619,normal
dahu-21.grenoble.grid5000.fr,20,0.283786,72.029933,normal
dahu-21.grenoble.grid5000.fr,50,0.370838,136.312733,normal
dahu-21.grenoble.grid5000.fr,100,0.315545,322.389748,normal
dahu-21.grenoble.grid5000.fr,200,0.473436,423.850990,normal
dahu-21.grenoble.grid5000.fr,500,0.881167,562.189082,normal
dahu-21.grenoble.grid5000.fr,1024,1.625698,619.937193,normal
dahu-21.grenoble.grid5000.fr,2048,2.807103,715.698802,normal
dahu-21.grenoble.grid5000.fr,5120,7.453886,671.929701,normal
dahu-21.grenoble.grid5000.fr,10240,15.488514,646.166699,normal
